Title,Year,Price (Euro),Review Percent,Number of Reviews,Review Score,Rank
DELTARUNE,2025,23.99,98,10900,9,1
Counter-Strike 2,2012,0.0,86,8817967,8,2
Rune Factory: Guardians of Azuma,2025,59.99,84,226,8,3
ELDEN RING NIGHTREIGN,2025,39.99,76,50687,6,4
Once Human,2024,0.0,74,130648,6,5
Dead by Daylight,2016,19.99,79,579836,6,6
Street Fighter™ 6,2023,39.99,84,35637,8,7
PUBG: BATTLEGROUNDS,2017,0.0,59,2557871,5,8
Apex Legends™,2020,0.0,67,995009,5,9
The Elder Scrolls IV: Oblivion Remastered,2025,43.99,81,45669,8,10
Dota 2,2013,0.0,81,2500896,8,11
F1® 25,2025,59.99,88,2033,8,12
Clair Obscur: Expedition 33,2025,49.99,95,76216,9,13
FANTASY LIFE i: The Girl Who Steals Time,2025,59.99,92,6761,8,14
"Warhammer 40,000: Space Marine 2",2024,35.99,83,119032,8,15
HELLDIVERS™ 2,2024,39.99,77,741185,6,16
DELTARUNE Soundtrack,2025,14.49,91,57,8,17
R.E.P.O.,2025,9.75,96,152793,9,18
Warframe,2013,0.0,87,620356,8,19
NARAKA: BLADEPOINT,2021,0.0,74,283885,6,20
Call of Duty®: Black Ops 6,2024,43.99,45,11904,5,21
Sekiro™: Shadows Die Twice - GOTY Edition,2019,29.99,95,234593,9,22
Marvel Rivals,2024,0.0,79,287801,6,23
Limbus Company,2023,0.0,83,63586,8,24
War Thunder,2013,0.0,73,626576,6,25
Yu-Gi-Oh! Master Duel,2022,0.0,74,86772,6,26
The Elder Scrolls® Online,2017,4.99,82,127873,8,27
EA SPORTS FC™ 25,2024,69.99,49,68816,5,28
Rust,2018,39.99,87,1019936,8,29
ELDEN RING,2022,59.99,92,766151,8,30
Destiny 2,2019,0.0,79,625744,6,31
POPUCOM,2025,16.19,88,1073,8,32
THRONE AND LIBERTY,2024,0.0,68,63529,5,33
Schedule I,2025,19.5,98,187932,9,34
Tainted Grail: The Fall of Avalon,2025,43.99,87,11140,8,35
Diablo® IV,2024,27.49,71,36437,6,36
No Man's Sky,2016,23.59,81,266497,8,37
NOBUNAGA'S AMBITION: Awakening,2022,59.99,74,2003,6,38
Fallout 76,2020,39.99,75,66271,6,39
