Title,Release Date,Price,Review
DELTARUNE,"4 Jun, 2025","23,99€","Overwhelmingly Positive<br>98% of the 10,900 user reviews for this game are positive."
Counter-Strike 2,"21 Aug, 2012",Free,"Very Positive<br>86% of the 8,817,967 user reviews for this game are positive."
Dune: Awakening,"10 Jun, 2025","49,99€",N/A
Rune Factory: Guardians of Azuma,"4 Jun, 2025","59,99€",Very Positive<br>84% of the 226 user reviews for this game are positive.
ELDEN RING NIGHTREIGN,"29 May, 2025","39,99€","Mostly Positive<br>76% of the 50,687 user reviews for this game are positive."
Steam Deck,"17 Jan, 2025","419,00€",N/A
Stellar Blade™,"11 Jun, 2025","69,99€",N/A
Once Human,"9 Jul, 2024",Free,"Mostly Positive<br>74% of the 130,648 user reviews for this game are positive."
Dead by Daylight,"14 Jun, 2016","19,99€","Mostly Positive<br>79% of the 579,836 user reviews for this game are positive."
Street Fighter™ 6,"1 Jun, 2023","39,99€","Very Positive<br>84% of the 35,637 user reviews for this game are positive."
PUBG: BATTLEGROUNDS,"21 Dec, 2017",Free,"Mixed<br>59% of the 2,557,871 user reviews for this game are positive."
Apex Legends™,"4 Nov, 2020",Free,"Mixed<br>67% of the 995,009 user reviews for this game are positive."
The Elder Scrolls IV: Oblivion Remastered,"22 Apr, 2025","43,99€","Very Positive<br>81% of the 45,669 user reviews for this game are positive."
Dota 2,"9 Jul, 2013",Free,"Very Positive<br>81% of the 2,500,896 user reviews for this game are positive."
F1® 25,"30 May, 2025","59,99€","Very Positive<br>88% of the 2,033 user reviews for this game are positive."
Clair Obscur: Expedition 33,"24 Apr, 2025","49,99€","Overwhelmingly Positive<br>95% of the 76,216 user reviews for this game are positive."
FANTASY LIFE i: The Girl Who Steals Time,"21 May, 2025","59,99€","Very Positive<br>92% of the 6,761 user reviews for this game are positive."
"Warhammer 40,000: Space Marine 2","9 Sep, 2024","35,99€","Very Positive<br>83% of the 119,032 user reviews for this game are positive."
HELLDIVERS™ 2,"8 Feb, 2024","39,99€","Mostly Positive<br>77% of the 741,185 user reviews for this game are positive."
DELTARUNE Soundtrack,"4 Jun, 2025","14,49€",Very Positive<br>91% of the 57 user reviews for this game are positive.
R.E.P.O.,"26 Feb, 2025","9,75€","Overwhelmingly Positive<br>96% of the 152,793 user reviews for this game are positive."
Warframe,"25 Mar, 2013",Free,"Very Positive<br>87% of the 620,356 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
NARAKA: BLADEPOINT,"11 Aug, 2021",Free,"Mostly Positive<br>74% of the 283,885 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Pro Cycling Manager 25,"5 Jun, 2025","39,99€",N/A
Call of Duty®: Black Ops 6,"24 Oct, 2024","43,99€","Mixed<br>45% of the 11,904 user reviews for this game are positive."
Sekiro™: Shadows Die Twice - GOTY Edition,"21 Mar, 2019","29,99€","Overwhelmingly Positive<br>95% of the 234,593 user reviews for this game are positive."
Marvel Rivals,"5 Dec, 2024",Free,"Mostly Positive<br>79% of the 287,801 user reviews for this game are positive."
Limbus Company,"26 Feb, 2023",Free,"Very Positive<br>83% of the 63,586 user reviews for this game are positive."
War Thunder,"15 Aug, 2013",Free,"Mostly Positive<br>73% of the 626,576 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Yu-Gi-Oh! Master Duel,"18 Jan, 2022",Free,"Mostly Positive<br>74% of the 86,772 user reviews for this game are positive."
The Elder Scrolls® Online,"22 May, 2017","4,99€","Very Positive<br>82% of the 127,873 user reviews for this game are positive."
EA SPORTS FC™ 25,"26 Sep, 2024","69,99€","Mixed<br>49% of the 68,816 user reviews for this game are positive."
Rust,"8 Feb, 2018","39,99€","Very Positive<br>87% of the 1,019,936 user reviews for this game are positive."
ELDEN RING,"24 Feb, 2022","59,99€","Very Positive<br>92% of the 766,151 user reviews for this game are positive."
Destiny 2,"1 Oct, 2019",Free,"Mostly Positive<br>79% of the 625,744 user reviews for this game are positive."
POPUCOM,"1 Jun, 2025","16,19€","Very Positive<br>88% of the 1,073 user reviews for this game are positive."
THRONE AND LIBERTY,"1 Oct, 2024",Free,"Mixed<br>68% of the 63,529 user reviews for this game are positive."
Schedule I,"24 Mar, 2025","19,50€","Overwhelmingly Positive<br>98% of the 187,932 user reviews for this game are positive."
Tainted Grail: The Fall of Avalon,"23 May, 2025","43,99€","Very Positive<br>87% of the 11,140 user reviews for this game are positive."
Diablo® IV,"7 Oct, 2024","27,49€","Mostly Positive<br>71% of the 36,437 user reviews for this game are positive."
SILENT HILL f,"24 Sep, 2025","79,99€",N/A
No Man's Sky,"12 Aug, 2016","23,59€","Very Positive<br>81% of the 266,497 user reviews for this game are positive."
NOBUNAGA'S AMBITION: Awakening,"20 Jul, 2022","59,99€","Mostly Positive<br>74% of the 2,003 user reviews for this game are positive."
Fallout 76,"14 Apr, 2020","39,99€","Mostly Positive<br>75% of the 66,271 user reviews for this game are positive."
Call of Duty®: Warzone™,"16 Nov, 2022",Free,"Mostly Negative<br>31% of the 44,976 user reviews for this game are positive."
RoadCraft,"20 May, 2025","39,99€","Mostly Positive<br>73% of the 6,444 user reviews for this game are positive."
Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015","19,99€","Very Positive<br>84% of the 1,190,301 user reviews for this game are positive."
REMATCH,"19 Jun, 2025","24,99€",N/A
The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016","9,99€","Very Positive<br>94% of the 189,579 user reviews for this game are positive."
"Set of 6 Scenarios for ""NOBUNAGA'S AMBITION: Awakening""","4 Jun, 2025","14,99€",Mixed<br>50% of the 14 user reviews for this game are positive.
Delta Force,"5 Dec, 2024",Free,"Mixed<br>63% of the 112,882 user reviews for this game are positive."
The Outlast Trials,"5 Mar, 2024","15,59€","Very Positive<br>93% of the 55,510 user reviews for this game are positive."
Baldur's Gate 3,"3 Aug, 2023","59,99€","Overwhelmingly Positive<br>96% of the 670,868 user reviews for this game are positive."
Split Fiction,"6 Mar, 2025","49,99€","Overwhelmingly Positive<br>97% of the 51,229 user reviews for this game are positive."
"Warhammer 40,000: Darktide","30 Nov, 2022","39,99€","Mostly Positive<br>71% of the 90,414 user reviews for this game are positive."
Starward,"25 Apr, 2024",Free,"Mixed<br>63% of the 2,034 user reviews for this game are positive."
Guilty as Sock!,"29 May, 2025","4,95€",Very Positive<br>91% of the 685 user reviews for this game are positive.
